,correlated_columns
Age (1),Age (1)
Gender (Male = 1),"Gender (Male = 1),HDL"
Angina,"Angina,Documented resting 
or exertional ischemia,CAD"
Previous CABG,Previous CABG
Previous PCI,"Previous PCI,Previous 
Myocardial Infarction,CAD"
"Previous 
Myocardial Infarction","Previous 
Myocardial Infarction,CAD,Previous PCI,Post-ischemic Dilated
Cardiomyopathy,WmsiBas"
"Acute 
Myocardial Infarction","Acute 
Myocardial Infarction"
Vessels,"Vessels,CAD,Documented resting 
or exertional ischemia"
CAD,"CAD,Previous 
Myocardial Infarction,Vessels,Documented resting 
or exertional ischemia,Dyslipidemia
Hystory of dyslipidemia,Previous PCI,Angina,Aritmie,Primary Dilated
Cardiomyopathy"
"Smoke
History of smoke","Smoke
History of smoke"
"Diabetes
History of diabetes","Diabetes
History of diabetes,Glycemia"
"Hypertension
History of hypertension","Hypertension
History of hypertension,Ipertensione,Systolic blood pressure"
"Dyslipidemia
Hystory of dyslipidemia","Dyslipidemia
Hystory of dyslipidemia,CAD"
Family history of CAD,Family history of CAD
"Obesity
History of obesity","Obesity
History of obesity,BMI"
"Documented resting 
or exertional ischemia","Documented resting 
or exertional ischemia,CAD,Vessels,Angina,Aritmie"
"Post-ischemic Dilated
Cardiomyopathy","Post-ischemic Dilated
Cardiomyopathy,WmsiBas,fe,vsx,Previous 
Myocardial Infarction"
"Primary Dilated
Cardiomyopathy","Primary Dilated
Cardiomyopathy,fe,WmsiBas,vsx,CAD"
Atrial Fibrillation,"Atrial Fibrillation,Aritmie,Paroxysmal atrial fibrillation"
Paroxysmal atrial fibrillation,"Paroxysmal atrial fibrillation,Atrial Fibrillation"
Total cholesterol,"Total cholesterol,LDL,HDL,Triglycerides"
HDL,"HDL,Total cholesterol,Gender (Male = 1)"
LDL,"LDL,Total cholesterol"
Triglycerides,"Triglycerides,Total cholesterol"
Glycemia,"Glycemia,Diabetes
History of diabetes"
TSH,"TSH,Ipotiroidismo"
fT3,"fT3,Ipertiroidismo,fT4,Low T3"
fT4,"fT4,Ipertiroidismo,fT3"
Euthyroid,"Euthyroid,Low T3,Subclinical primary hypothyroidism (SCH)"
Subclinical primary hypothyroidism (SCH),"Subclinical primary hypothyroidism (SCH),Euthyroid"
"Subclinical primary hyperthyroidism
(SCT)","Subclinical primary hyperthyroidism
(SCT)"
Low T3,"Low T3,Euthyroid,fT3"
Ipotiroidismo,"Ipotiroidismo,TSH"
Ipertiroidismo,"Ipertiroidismo,fT3,fT4"
Normal,Normal
SindromeX,SindromeX
Aritmie,"Aritmie,Atrial Fibrillation,Documented resting 
or exertional ischemia,CAD"
MIO/MIN,"MIO/MIN,DimSettoIV"
Miocardite,Miocardite
Pericardite,Pericardite
Endocardite,Endocardite
Valvulopatie,Valvulopatie
MalattiaVasoAorta,MalattiaVasoAorta
Ipertensione,"Ipertensione,Hypertension
History of hypertension,Systolic blood pressure"
CardiopatiaCongenita,CardiopatiaCongenita
EmboliaPolmonare,EmboliaPolmonare
EPA,EPA
HR,HR
BMI,"BMI,Obesity
History of obesity"
Diastolic blood pressure,"Diastolic blood pressure,Systolic blood pressure"
Systolic blood pressure,"Systolic blood pressure,Diastolic blood pressure,Ipertensione,Hypertension
History of hypertension"
WmsiBas,"WmsiBas,fe,Post-ischemic Dilated
Cardiomyopathy,vsx,Primary Dilated
Cardiomyopathy,Previous 
Myocardial Infarction"
DimSettoIV,"DimSettoIV,DimParPost,MIO/MIN"
DimParPost,"DimParPost,DimSettoIV"
fe,"fe,WmsiBas,vsx,Post-ischemic Dilated
Cardiomyopathy,Primary Dilated
Cardiomyopathy"
vsx,"vsx,fe,WmsiBas,Primary Dilated
Cardiomyopathy,Post-ischemic Dilated
Cardiomyopathy"
